token_id,board_code,x,y
1736,69,28,17
737,mfers,31,11
1737,69,29,13
738,mfers,31,15
1738,69,33,2
739,mfers,28,17
1739,69,26,19
740,mfers,7,13
1740,69,9,9
741,mfers,6,24
1741,69,24,17
742,mfers,36,8
1742,69,0,6
743,mfers,20,15
1743,69,16,23
744,mfers,27,20
1744,69,21,18
745,mfers,34,1
1745,69,35,20
746,mfers,33,3
1746,69,26,14
747,mfers,29,17
1747,69,8,18
748,mfers,14,9
1748,69,15,16
749,mfers,3,22
1749,69,33,6
750,mfers,6,18
1750,69,16,20
751,mfers,14,19
1751,69,1,18
752,mfers,30,14
1752,69,6,17
753,mfers,21,0
1753,69,8,11
754,mfers,35,9
1754,69,39,22
755,mfers,25,0
1755,69,3,15
756,mfers,39,16
1756,69,31,2
757,mfers,16,20
1757,69,33,20
758,mfers,14,5
1758,69,14,11
759,mfers,16,5
1759,69,19,1
760,mfers,33,14
1760,69,31,16
761,mfers,21,22
1761,69,18,21
762,mfers,35,12
1762,69,14,1
763,mfers,5,18
1763,69,17,19
764,mfers,34,0
1764,69,9,0
765,mfers,16,20
1765,69,24,15
766,mfers,11,22
1766,69,28,18
767,mfers,0,3
1767,69,7,5
768,mfers,12,9
1768,69,37,24
769,mfers,39,2
1769,69,38,21
770,mfers,31,24
1770,69,18,16
771,mfers,35,7
1771,69,25,3
772,mfers,35,9
1772,69,25,9
773,mfers,38,22
1773,69,4,0
774,mfers,36,1
1774,69,39,1
775,mfers,22,19
1775,69,6,4
776,mfers,31,9
1776,69,19,9
777,mfers,15,7
1777,69,7,6
778,mfers,33,2
1778,69,17,23
779,mfers,35,7
1779,69,23,16
780,mfers,11,9
1780,69,39,19
781,mfers,20,21
1781,69,31,12
782,mfers,22,0
1782,69,30,15
783,mfers,22,24
1783,69,10,16
784,mfers,6,14
1784,69,19,16
785,mfers,25,11
1785,69,3,5
786,mfers,1,12
1786,69,30,24
787,mfers,27,10
1787,69,27,12
788,mfers,17,13
1788,69,21,19
789,mfers,10,24
1789,69,11,6
790,mfers,11,13
1790,69,23,21
791,mfers,2,22
1791,69,35,24
792,mfers,2,24
1792,69,16,22
793,mfers,3,17
1793,69,13,1
794,mfers,6,0
1794,69,39,20
795,mfers,37,22
1795,69,11,15
796,mfers,8,1
1796,69,38,16
797,mfers,15,13
1797,69,12,16
798,mfers,11,22
1798,69,31,4
799,mfers,32,21
1799,69,21,22
800,mfers,22,17
1800,69,15,18
801,mfers,0,15
1801,69,19,6
802,mfers,3,17
1802,69,7,15
803,mfers,0,14
1803,69,26,21
804,mfers,11,17
1804,69,23,8
805,mfers,11,6
1805,69,29,1
806,mfers,30,18
1806,69,33,0
807,mfers,24,17
1807,69,3,15
808,mfers,16,0
1808,69,20,3
809,mfers,4,11
1809,69,15,8
810,mfers,22,12
1810,69,23,10
811,mfers,23,14
1811,69,4,23
812,mfers,4,4
1812,69,3,13
813,mfers,29,21
1813,69,6,6
814,mfers,28,20
1814,69,37,8
815,mfers,1,11
1815,69,39,2
816,mfers,23,12
1816,69,19,5
817,mfers,4,5
1817,69,9,9
818,mfers,36,13
1818,69,5,16
819,mfers,29,7
1819,69,25,19
820,mfers,9,4
1820,69,16,9
821,mfers,3,4
1821,69,9,12
822,mfers,26,9
1822,69,21,16
823,mfers,17,21
1823,69,21,1
824,mfers,10,17
1824,69,30,11
825,mfers,5,21
1825,69,5,22
826,mfers,32,4
1826,69,28,21
827,mfers,8,8
1827,69,26,16
828,mfers,30,5
1828,69,29,3
829,mfers,38,16
1829,69,30,7
830,mfers,2,9
1830,69,19,23
831,mfers,27,3
1831,69,16,19
832,mfers,37,1
1832,69,30,17
833,mfers,12,4
1833,69,20,24
834,mfers,35,23
1834,69,28,22
835,mfers,4,16
1835,69,8,17
836,mfers,11,18
1836,69,15,16
837,mfers,27,13
1837,69,22,18
838,mfers,31,23
1838,69,35,19
839,mfers,15,0
1839,69,25,10
840,mfers,28,11
1840,69,19,6
841,mfers,2,14
1841,69,26,7
842,mfers,16,5
1842,69,33,23
843,mfers,36,2
1843,69,21,14
844,mfers,22,18
1844,69,27,12
845,mfers,1,17
1845,69,23,1
846,mfers,8,5
1846,69,22,10
847,mfers,35,16
1847,69,5,11
848,mfers,0,19
1848,69,8,12
849,mfers,23,16
1849,69,34,2
850,mfers,28,20
1850,69,24,3
851,mfers,20,9
1851,69,4,18
852,mfers,9,24
1852,69,6,6
853,mfers,6,12
1853,69,37,19
854,mfers,11,12
1854,69,9,7
855,mfers,14,7
1855,69,9,23
856,mfers,0,17
1856,69,30,22
857,mfers,6,7
1857,69,17,24
858,mfers,27,0
1858,69,29,5
859,mfers,27,2
1859,69,3,20
860,mfers,33,17
1860,69,35,21
861,mfers,31,9
1861,69,27,12
862,mfers,8,4
1862,69,28,15
863,mfers,4,14
1863,69,0,15
864,mfers,24,16
1864,69,39,17
865,mfers,38,13
1865,69,10,13
866,mfers,19,24
1866,69,6,4
867,mfers,4,5
1867,69,38,7
868,mfers,27,18
1868,69,33,20
869,mfers,34,6
1869,69,1,19
870,mfers,23,12
1870,69,3,3
871,mfers,19,11
1871,69,9,21
872,mfers,12,9
1872,69,31,16
873,mfers,33,2
1873,69,37,8
874,mfers,19,1
1874,69,22,15
875,mfers,8,20
1875,69,13,12
876,mfers,5,5
1876,69,38,20
877,mfers,30,9
1877,69,31,23
878,mfers,33,15
1878,69,30,15
879,mfers,12,14
1879,69,5,3
880,mfers,25,8
1880,69,39,4
881,mfers,37,13
1881,69,29,15
882,mfers,34,7
1882,69,31,5
883,mfers,1,18
1883,69,6,7
884,mfers,37,12
1884,69,2,15
885,mfers,3,7
1885,69,22,2
886,mfers,39,24
1886,69,19,15
887,mfers,12,10
1887,69,8,22
888,mfers,28,0
1888,69,9,15
889,mfers,4,11
1889,69,37,7
890,mfers,1,5
1890,69,37,22
891,mfers,30,14
1891,69,15,1
892,mfers,39,16
1892,69,14,2
893,mfers,10,4
1893,69,9,13
894,mfers,39,3
1894,69,34,19
895,mfers,5,15
1895,69,17,13
896,mfers,3,11
1896,69,5,19
897,mfers,33,21
1897,69,6,3
898,mfers,23,19
1898,69,38,9
899,mfers,7,3
1899,69,37,20
900,mfers,2,21
1900,69,20,20
901,mfers,10,9
1901,69,38,14
902,mfers,35,18
1902,69,3,20
903,mfers,25,11
1903,69,34,15
904,mfers,34,19
1904,69,15,14
905,mfers,1,18
1905,69,35,6
906,mfers,16,3
1906,69,18,16
907,mfers,0,15
1907,69,11,0
908,mfers,30,3
1908,69,24,12
909,mfers,30,16
1909,69,24,8
910,mfers,32,0
1910,69,5,17
911,mfers,17,10
1911,69,25,3
912,mfers,29,1
1912,69,11,11
913,mfers,26,0
1913,69,39,8
914,mfers,13,5
1914,69,34,10
915,mfers,20,12
1915,69,20,20
916,mfers,24,1
1916,69,13,24
917,mfers,30,0
1917,69,34,18
918,mfers,37,4
1918,69,3,18
919,mfers,14,8
1919,69,23,17
920,mfers,34,0
1920,69,32,24
921,mfers,5,7
1921,69,36,5
922,mfers,1,15
1922,69,5,5
923,mfers,36,16
1923,69,39,18
924,mfers,20,11
1924,69,17,7
925,mfers,16,7
1925,69,0,24
926,mfers,16,0
1926,69,10,11
927,mfers,18,21
1927,69,33,7
928,mfers,13,10
1928,69,23,23
929,mfers,32,6
1929,69,23,0
930,mfers,28,24
1930,69,18,20
931,mfers,4,17
1931,69,12,2
932,mfers,21,4
1932,69,31,8
933,mfers,21,4
1933,69,17,7
934,mfers,34,9
1934,69,29,11
935,mfers,12,18
1935,69,4,18
936,mfers,30,15
1936,69,10,7
937,mfers,25,0
1937,69,36,8
938,mfers,25,10
1938,69,30,21
939,mfers,33,7
1939,69,11,2
940,mfers,32,14
1940,69,23,3
941,mfers,20,18
1941,69,28,5
942,mfers,36,21
1942,69,38,20
943,mfers,12,11
1943,69,7,12
944,mfers,13,7
1944,69,31,11
945,mfers,13,0
1945,69,9,1
946,mfers,15,5
1946,69,21,16
947,mfers,29,13
1947,69,12,3
948,mfers,3,4
1948,69,22,4
949,mfers,26,20
1949,69,32,3
950,mfers,20,22
1950,69,3,11
951,mfers,11,5
1951,69,32,18
952,mfers,14,6
1952,69,0,11
953,mfers,21,13
1953,69,27,15
954,mfers,9,1
1954,69,2,16
955,mfers,10,5
1955,69,18,7
956,mfers,13,24
1956,69,22,23
957,mfers,5,13
1957,69,6,19
958,mfers,15,17
1958,69,31,11
959,mfers,35,10
1959,69,30,4
960,mfers,27,12
1960,69,8,8
961,mfers,11,23
1961,69,35,15
962,mfers,5,18
1962,69,14,21
963,mfers,36,9
1963,69,17,21
964,mfers,1,22
1964,69,30,18
965,mfers,35,19
1965,69,3,7
966,mfers,9,3
1966,69,39,24
967,mfers,17,0
1967,69,37,14
968,mfers,19,22
1968,69,5,16
969,mfers,23,22
1969,69,37,3
970,mfers,0,0
1970,69,31,11
971,mfers,12,5
1971,69,19,6
972,mfers,33,8
1972,69,26,10
973,mfers,8,24
1973,69,32,16
974,mfers,10,15
1974,69,27,17
975,mfers,6,20
1975,69,26,11
976,mfers,10,22
1976,69,31,5
977,mfers,25,7
1977,69,12,3
978,mfers,5,11
1978,69,12,16
979,mfers,13,22
1979,69,28,20
980,mfers,15,1
1980,69,2,24
981,mfers,35,3
1981,69,14,11
982,mfers,20,10
1982,69,1,11
983,mfers,7,7
1983,69,19,0
984,mfers,39,22
1984,69,34,1
985,mfers,16,2
1985,69,22,11
986,mfers,28,21
1986,69,28,3
987,mfers,24,8
1987,69,36,24
988,mfers,25,11
1988,69,30,9
989,mfers,27,12
1989,69,8,14
990,mfers,23,24
1990,69,13,24
991,mfers,27,13
1991,69,29,17
992,mfers,26,4
1992,69,23,5
993,mfers,17,8
1993,69,11,14
994,mfers,25,12
1994,69,4,7
995,mfers,1,11
1995,69,15,14
996,mfers,7,7
1996,69,10,20
997,mfers,21,2
1997,69,5,12
998,mfers,25,12
1998,69,3,20
999,mfers,1,19
1999,69,35,15
1000,mfers,35,18
2000,69,1,16
